subscribe_cnt,Genre_Jazz,class
2250000,0.8377299904823303,1
3070,0.031490001827478416,1
49300,0.21587349474430084,0
14400,0.056106138974428184,1
49600,0.10494360327720642,1
2250000,0.3451538383960724,1
2510000,0.05168599262833595,0
15000,0.3184512555599213,1
110000,0.8929540514945984,1
154000,0.04459521546959877,1
155000,0.020862111821770668,1
26300,0.15534885227680206,1
1140,0.3378618061542511,0
122000,0.09910397231578827,0
1150,0.1361224353313446,0
1580000,0.17258481681346893,1
922000,0.00575542077422142,1
5290,0.5613530874252319,0
2250000,0.008822426199913025,1
68700,0.17318399250507355,1
1580000,0.2521583139896393,0
2250000,0.03185891732573508,1
1580000,0.3302661180496216,0
119000,0.06862520426511765,0
2150,0.032094307243824005,0
2510000,0.0607360415160656,1
2370,0.2213266938924789,1
1580000,0.4261932373046875,0
1580000,0.12179872393608092,0
8660,0.29437386989593506,0
2510000,0.0838087946176529,0
1580000,0.05707390606403352,1
164000,0.5254140496253967,1
1580000,0.1817977875471115,0
1580000,0.29564499855041504,0
355000,0.13262958824634552,0
122000,0.12535183131694794,1
2510000,0.04220283031463623,1
6520,0.030804522335529324,0
2250000,0.20617076754570007,0
143000,0.002423633355647325,1
718000,0.053659085184335716,1
82000,0.1196763664484024,1
34700,0.552893340587616,1
18000,0.16984476149082184,0
44700,0.03941662982106209,1
2020000,0.37459853291511536,1
2510000,0.12979376316070554,0
1210,0.32928362488746643,0
2510000,0.02488416619598865,0
2510000,0.027781670913100243,1
355000,0.16243687272071838,1
1580000,0.06421720236539841,0
2250000,0.08432578295469284,1
143000,0.04193953797221184,0
2510000,0.5144878625869751,0
1580000,0.06686845421791078,0
110000,0.2587734162807465,1
30500,0.12101104855537415,0
7290,0.0929057151079178,1
23200,0.173224538564682,1
235000,0.10607273876667024,0
6520,0.009160156361758707,0
355000,0.18188537657260886,0
119000,0.06804534792900085,0
119000,0.3615266978740692,0
22400,0.14021407067775726,0
118000,0.062105849385261536,1
2510000,0.023379199206829068,0
6520,0.2380516231060028,1
15100,0.4254672527313232,1
119000,0.20790959894657127,0
2250000,0.28797975182533264,0
2250000,0.0423843078315258,0
1580000,0.2808127105236053,0
161000,0.17035627365112305,1
24100,0.4217884838581085,0
2510000,0.04137420281767845,1
1580000,0.1523132622241974,0
2250000,0.3083184659481049,0
2150,0.05108051747083664,0
6520,0.06737245619297028,0
5730,0.4317970275878906,0
2250000,0.03926088660955429,1
118000,0.13363881409168246,0
88900,0.04375749826431274,1
4440,0.3708532154560089,0
10400,0.4322101175785065,0
443000,0.11608510464429855,0
5860,0.1892540603876114,1
122000,0.4060357511043549,0
26200,0.1246357560157776,0
1580000,0.04224344715476036,1
49300,0.3471163809299469,0
1490000,0.3214089274406433,0
2510000,0.6746308207511902,1
1580000,0.1384992003440857,0
155000,0.2697213292121887,1
1580000,0.6495311260223389,0
6520,0.6432671546936035,0
235000,0.017716508358716958,1
274000,0.7475947737693787,0
1580000,0.0580606572329998,0
115000,0.008498079143464565,0
52800,0.012276871129870416,0
5540,0.15145111083984375,1
122000,0.05761127546429634,0
2470,0.19129814207553866,1
122000,0.1131487488746643,0
2250000,0.11279793083667755,0
48000,0.37962836027145386,1
1580000,0.3817486464977264,0
119000,0.029050951823592183,1
122000,0.5238488912582397,0
189000,0.3254985511302948,1
195000,0.6572997570037842,0
427000,0.16461336612701416,0
143000,0.019186869263648987,0
68700,0.4696682095527649,1
2510000,0.08196505159139633,1
119000,0.3525817692279816,1
2510000,0.05032021179795265,0
154000,0.21769189834594727,1
19000,0.3551498651504517,0
1580000,0.30607765913009644,1
2250000,0.028889505192637444,1
171000,0.5409530401229858,1
124000,0.27436670660972595,0
18500,0.16309446096420288,1
12300,0.230642631649971,0
1580000,0.11480126529932022,0
119000,0.14483948051929474,0
1580000,0.5083900094032288,1
2470,0.09327881038188934,1
122000,0.03895674273371697,1
2510000,0.06992693990468979,0
2250000,0.04287993535399437,1
119000,0.8363997340202332,0
355000,0.5866914987564087,0
238000,0.6617267727851868,1
695000,0.02886523678898812,1
235000,0.039749626070261,0
2250000,0.15893526375293732,1
42900,0.04792742431163788,1
195000,0.04712792113423348,0
38200,0.020779173821210858,1
613000,0.2122231274843216,1
39200,0.008206061087548733,0
59000,0.24481044709682465,0
1610,0.2466563582420349,0
121000,0.04756283760070802,1
13400,0.11799689382314682,0
1580000,0.29828643798828125,0
2510000,0.1777215600013733,0
41100,0.1596851944923401,0
1440,0.236629381775856,1
122000,0.3068024814128876,0
3830000,0.18258802592754364,1
15000,0.6205873489379883,1
38100,0.09329603612422943,1
118000,0.5112006664276123,1
154000,0.07204865664243698,1
10400,0.15322716534137726,0
1470,0.07844517379999161,0
1580000,0.10173822194337843,0
5340,0.21881712973117828,0
44300,0.3840782344341278,1
1040,0.2907108962535858,0
12300,0.07387963682413101,0
11300,0.02477128617465496,0
18200,0.3319671750068665,1
5990,0.028898319229483608,1
21000,0.022442758083343502,0
103000,0.2300512492656708,1
235000,0.20964889228343964,0
2510000,0.055098377168178565,0
2510000,0.022159222513437268,1
21000,0.02604660764336586,1
1580000,0.055302053689956665,1
154000,0.1033262088894844,0
38200,0.5869854688644409,1
4320,0.1124885082244873,0
1580000,0.0609976164996624,0
122000,0.01589253731071949,0
7690,0.20755276083946228,0
1490000,0.06188158690929413,0
2250000,0.10948655754327774,0
6520,0.2546449601650238,0
2510000,0.17342831194400787,0
110000,0.17485696077346802,1
2250000,0.1273442804813385,1
12300,0.5722296833992004,0
30800,0.1503238081932068,0
82000,0.04936331883072853,1
355000,0.15131209790706635,1
122000,0.5992726683616638,0
327000,0.8169535994529724,1
36700,0.2660939991474152,0
64800,0.06303911656141281,1
15900,0.2814928889274597,0
15300,0.18513861298561096,1
904,0.1305873990058899,0
120000,0.3000624775886536,1
119000,0.5992395281791687,0
506,0.030835630372166637,0
593000,0.07579278200864792,1
2510000,0.09078759700059892,1
2510000,0.08851395547389984,0
2510000,0.039135579019784934,0
11300,0.10351329296827316,0
75500,0.010676827281713486,1
15900,0.7041172385215759,0
34700,0.6828770041465759,1
154000,0.1844081133604049,1
2510000,0.053454630076885216,0
571000,0.08845014125108719,0
1490000,0.2449532449245453,1
2510000,0.9593569040298462,0
27600,0.2294235676527024,0
718000,0.049008600413799286,1
85600,0.28835323452949524,1
44300,0.472704827785492,0
427000,0.053291790187358856,0
305,0.13334451615810394,0
15100,0.1438218504190445,0
355000,0.12542802095413208,1
12000,0.10030081123113632,0
16900,0.2038719058036804,0
32200,0.35137468576431274,0
15000,0.4087551832199097,1
171000,0.07176952064037323,1
13000,0.05394640937447548,1
122000,0.06991464644670486,0
2210000,0.0921357199549675,1
1580000,0.19610963761806488,1
984,0.04569981247186662,0
49000,0.09774555265903473,0
34700,0.12333030253648758,1
2510000,0.031581129878759384,1
1580000,0.08269242197275163,1
443000,0.5392372012138367,0
110000,0.10296452790498734,1
2890,0.4892420172691345,0
82000,0.0017928918823599815,1
5540,0.8439970612525941,1
2250000,0.19922798871994016,1
4550,0.07261020690202713,0
1990,0.12440292537212372,0
69900,0.11496270447969435,0
162000,0.13824541866779327,1
10400,0.01850896887481213,0
154000,0.03788907825946808,1
1870,0.4808364808559418,1
48600,0.27248379588127136,0
82000,0.08262109011411667,1
34700,0.2906871438026428,0
143000,0.004004629794508219,0
157000,0.2291989624500275,1
122000,0.834951639175415,0
235000,0.29786694049835205,0
162000,0.5877289175987244,1
2020000,0.0588630810379982,1
718000,0.8207417726516724,0
327000,0.09935427457094193,1
120000,0.7826617956161499,1
77300,0.1059790700674057,0
274000,0.03350013494491577,1
66100,0.27359336614608765,1
20500,0.013847679831087593,1
506,0.5636470317840576,0
12300,0.2809942364692688,0
8380,0.21459075808525085,1
12300,0.11617114394903184,0
1680,0.08698458969593048,0
2250000,0.04259947687387466,1
4320,0.10916093736886978,0
26200,0.7744472026824951,0
6380,0.07267943024635315,0
2510000,0.07763604819774628,1
3700,0.07063856720924377,0
2250000,0.13598048686981198,1
12000,0.7797322869300842,0
1580000,0.4620431959629059,0
71200,0.051952280104160316,1
1580000,0.09925253689289093,1
374,0.18009215593338013,0
25700,0.10135488957166673,1
408000,0.003665754338726401,1
39200,0.031294818967580795,0
2250000,0.1283227801322937,1
8040,0.058441266417503364,0
6380,0.2801404595375061,0
52900,0.2105887532234192,1
1450000,0.15302447974681854,1
389000,0.634118914604187,0
439000,0.6762362122535706,1
70600,0.07999395579099655,1
443000,0.05334528535604477,1
5290,0.3070773482322693,1
26300,0.04371025413274765,1
2250000,0.0453481487929821,1
1450000,0.12978170812129974,1
119000,0.028874948620796207,0
119000,0.3180210888385773,0
70600,0.2993919551372528,1
6130,0.3376614451408386,1
1580000,0.5445455312728882,1
155000,0.261921226978302,1
126000,0.6433402299880981,0
88900,0.2468907535076141,1
2470,0.5241943597793579,1
36700,0.5591052770614624,0
2510000,0.10671069473028184,0
1580000,0.04634936898946762,0
4410,0.5373614430427551,0
4550,0.4468114674091339,0
1350,0.27531442046165466,0
12300,0.15115702152252194,1
2250000,0.0065208137966692465,1
122000,0.24216273427009585,0
2210000,0.03963889554142952,1
122000,0.06634701788425446,0
124000,0.10237794369459152,0
22400,0.06719103455543518,0
1490000,0.2587161660194397,1
30800,0.0720275267958641,1
1450000,0.33903124928474426,1
122000,0.23403507471084595,0
39100,0.20299801230430609,0
1580000,0.2132433354854584,0
13500,0.1795225590467453,1
67000,0.12247825413942336,0
1680,0.19193874299526206,0
2510000,0.09572994709014893,0
1580000,0.2359856218099594,0
154000,0.08090946078300476,1
38100,0.2169976383447647,0
2510000,0.057265959680080414,1
49300,0.3857989013195038,1
64900,0.20168903470039368,1
1140000,0.15611028671264648,1
389000,0.11668746918439865,0
64900,0.13492748141288755,1
87100,0.04346420615911484,1
7360,0.3238613605499268,1
35000,0.3086276948451996,1
5540,0.2960734963417053,1
48000,0.1207117885351181,1
1580000,0.30292096734046936,0
44300,0.08063400536775589,0
18800,0.4537614583969116,1
2250000,0.2091858685016632,1
44300,0.2686938643455505,0
7360,0.14249426126480105,1
1580000,0.21346686780452728,0
110000,0.2901417016983032,1
119000,0.3686440587043762,0
2510000,0.06277462095022203,1
1990,0.15756939351558685,0
11600,0.045106977224349976,1
2210000,0.16235016286373138,1
2710,0.014340998604893684,1
408000,0.4458397030830383,1
487000,0.31172123551368713,1
355000,0.4767995774745941,1
2210000,0.014083125628530981,1
12300,0.24580538272857666,0
1580000,0.17919112741947174,0
2510000,0.03475876152515412,1
36700,0.1267167180776596,0
155000,0.4673106670379639,1
20400,0.0896546021103859,1
1580000,0.13621395826339722,0
5230,0.03643238544464111,0
355000,0.3297764658927917,1
