title,channel_id,view_cnt,like_cnt,dislike_cnt,class,love_ratio,subscribe_cnt,Replay_Gain,BPM,Dissonance,Pitch_Salience,Gender,Danceability,Genre_Alternative,Genre_Blues,Genre_Electronic,Genre_FolkCountry,Genre_FunkSoulRNB,Genre_Jazz,Genre_Pop,Genre_RapHippop,Genre_Rock,Mood_Acoustic,Mood_Aggressive,Mood_Electronic,Mood_Happy,Mood_Party,Mood_Relaxed,Mood_Sad,Mood_MirexC1,Mood_MirexC2,Mood_MirexC3,Mood_MirexC4,Mood_MirexC5,Atonal,Instrumental,Bright_Timbre
大支/Dwagie Feat.異鄉人/Br/Jimix【偷吃】Official Music Video,UCOg5bW6zcbvji5K4BRvQCUw,110187,2495,95,0,96.33204633204633,143000,-10.800680160522461,149.7069854736328,0.4657775461673737,0.537584662437439,0.0203262846916914,0.2881509065628052,0.004459042102098465,0.013138288632035255,0.012291392311453821,0.0071973325684666625,0.017009984701871872,0.01444306317716837,0.010223538614809513,0.9072492122650146,0.013988117687404156,0.05289251729846002,0.02903335727751255,0.9338994026184082,0.0005152377998456359,0.928700864315033,0.9005897641181946,0.6193150877952576,0.10852545499801636,0.18421074748039248,0.4162208139896393,0.17599105834960938,0.11505191773176192,0.7628002166748047,0.09203284978866576,0.0166117362678051
佛跳牆 BUDDHA JUMP《可有可無 Nonessential》Official Music Video,UC770sFWzLmJ38nHX6NTunow,536935,2012,21,1,98.96704377766847,8380,-9.067211151123047,138.02076721191406,0.39832803606987,0.3711645305156708,0.9966541528701782,0.04696711525321007,0.048817429691553116,0.14299264550209045,0.016475506126880646,0.3736959397792816,0.007926030084490776,0.21459075808525085,0.16357699036598206,0.01874632202088833,0.01317837554961443,0.9834133982658386,9.29679663386196e-06,0.21976448595523834,0.4067953824996948,0.008343569934368134,0.9924061894416808,0.9735212922096252,0.012240228243172169,0.036230720579624176,0.92842698097229,0.022537874057888985,0.0005641822353936733,0.13586290180683136,0.1125905141234398,0.8700315356254578
Allyson 陳瑾緗 -《公主病 Princess》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,13211,177,7,0,96.19565217391305,1680,-7.572624206542969,150.4666290283203,0.4486829340457916,0.44434303045272827,0.9875057935714722,0.9823099970817566,0.2093099802732468,0.023242320865392685,0.1827072501182556,0.09076583385467528,0.033011775463819504,0.0953083038330078,0.11750870943069458,0.13152435421943665,0.1166214719414711,0.19433940947055814,0.004970354028046131,0.6801453232765198,0.1279328465461731,0.5299185514450073,0.5942680835723877,0.562379002571106,0.1893054097890854,0.26055437326431274,0.40692296624183655,0.1003480702638626,0.04286917299032211,0.5584779381752014,0.3931329548358917,0.19466081261634827
陸虎、黃雅莉、Max馬俊 - 你就是光 You Are The Light（良業城市夜遊推廣曲）Official MV,UCs1wQOl6pWZ4jUn00-x3rJA,13978,72,2,0,97.29729729729729,39,-8.644599914550781,149.99996948242188,0.4488527178764343,0.4926536977291107,0.9942328333854676,0.6268773078918457,0.10211187601089478,0.18045052886009216,0.10516022890806198,0.04169508069753647,0.02971312031149864,0.044443711638450616,0.07136353105306625,0.10631179064512253,0.31875014305114746,0.06045907363295555,0.017473090440034866,0.8858667016029358,0.002800515852868557,0.4870551228523254,0.921367347240448,0.4893191158771515,0.21034345030784607,0.1319432258605957,0.2272134721279145,0.3510037660598755,0.07949608564376831,0.7806720137596129,0.714213490486145,0.0026740627363324165
JC 說散不散 Official Lyrics Video,UCCcL0bN9tQb1u8xzTqJJzBA,22998,322,17,0,94.98525073746313,38100,-9.057641983032227,140.08708190917972,0.3633217215538025,0.4722939431667328,0.9885334968566896,0.034436166286468506,0.12420018017292025,0.018907254561781883,0.09618567675352097,0.3345286846160889,0.01143905334174633,0.2169976383447647,0.17036059498786926,0.01527958270162344,0.012101341038942335,0.9848484396934508,6.456788833020255e-05,0.1761574149131775,0.2429362237453461,0.002663850551471114,0.9905236959457396,0.9724656939506532,0.009649413637816906,0.06948017328977585,0.9062740206718444,0.01392369344830513,0.0006726802093908193,0.05248400196433066,0.0188794806599617,0.5135328769683838
noovy - 《心絲蟲 Heartworm》Official Music Video,UCbCBuaWvHQH1X1hhLRgBW6g,207315,1109,38,1,96.68700959023539,13000,-10.297607421875,114.85393524169922,0.4518498778343201,0.5976884365081787,0.9139524698257446,0.3539637625217438,0.04908725246787071,0.1686442494392395,0.01981639862060547,0.19615870714187625,0.0510290190577507,0.05394640937447548,0.10060941427946092,0.033105861395597465,0.32760268449783325,0.572292149066925,0.03430434688925743,0.17231173813343048,0.6687868237495422,0.4863729178905487,0.2897006273269653,0.6140844225883484,0.17046783864498138,0.4917834997177124,0.15607614815235138,0.1508285254240036,0.030843978747725487,0.2668644189834595,0.1274721473455429,0.9122649431228638
林亭翰 Justin Lin - 寒暄 Small talk（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,42644,787,17,0,97.88557213930348,1580000,-3.73713493347168,129.86648559570312,0.36376720666885376,0.4434818625450134,0.05927109718322754,0.029221955686807632,0.06463900208473206,0.09695370495319366,0.10624731332063676,0.4034771025180817,0.006694581359624864,0.1817977875471115,0.08813901245594025,0.017652710899710655,0.034398771822452545,0.1672164350748062,0.0004263286828063429,0.6691968441009521,0.004170450381934643,0.0005262614577077329,0.9835845232009888,0.9285829663276672,0.06239008903503417,0.0596901923418045,0.5559585690498352,0.313803493976593,0.008157674223184586,0.8409367799758911,0.8312404155731201,0.010555974207818508
Things Things Things - Julia Wu 吳卓源｜Official Music Video,UCXIfiWFXOYGpcGHY0PALO7g,1119509,9283,120,1,98.72381154950547,162000,-12.411767959594727,97.17342376708984,0.426926463842392,0.4939619898796082,0.8910441398620605,0.2660098969936371,0.007607320323586464,0.00495945755392313,0.06474957615137099,0.002664145780727268,0.01702460460364819,0.06538918614387512,0.0038016405887901774,0.8290636539459229,0.00474040862172842,0.12512832880020142,0.01058416534215212,0.9576904177665708,0.023607725277543068,0.8515499830245972,0.7482836246490479,0.5932483673095703,0.22167697548866272,0.26886776089668274,0.19565674662590027,0.1736505627632141,0.14014793932437894,0.953162968158722,0.9666110873222352,0.16373635828495026
盧廣仲 Crowd Lu【善良的眼鏡 Kind Glasses】Official Music Video,UC9-SkdRRsaABoNvYiacFh_w,136556,5266,46,0,99.13403614457832,155000,-0.4702186584472656,126.27550506591795,0.4254600703716278,0.32299837470054626,0.7046855688095093,0.2905361652374268,0.0032923868857324123,0.012226654216647148,0.03773392736911774,0.008408445864915848,0.0012835591332986947,0.9094353914260864,0.004119542893022299,0.02072131074965,0.0027787603903561826,0.6549031734466553,0.009114917367696762,0.9291985034942628,0.07415006309747696,0.08261726796627045,0.9990966320037842,0.7518167495727539,0.25362756848335266,0.13994474709033966,0.28447461128234863,0.22117674350738525,0.100776307284832,0.8824323415756226,0.8280054330825806,0.027769718319177628
小男孩樂團 Men Envy Children【Rise and Shine】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,53935,1253,26,0,97.96716184519155,2510000,-13.788103103637695,82.8040542602539,0.467709094285965,0.5220748782157898,0.9872857332229614,0.8457875847816467,0.04914098605513573,0.06628730893135071,0.025948986411094662,0.040012676268816,0.0344184935092926,0.08851395547389984,0.14550749957561493,0.04688810929656029,0.5032820105552673,0.05011575669050217,0.3616095781326294,0.2760310769081116,0.9215832948684692,0.2472001165151596,0.035490907728672035,0.2255041003227234,0.4132466912269592,0.17779430747032166,0.1579769104719162,0.029012786224484444,0.2219693064689636,0.30572858452796936,0.4172587394714356,0.9392632842063904
