title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
大支/Dwagie Feat.異鄉人/Br/Jimix【偷吃】Official Music Video,UCOg5bW6zcbvji5K4BRvQCUw,105766,2432,93,141000
佛跳牆 BUDDHA JUMP《可有可無 Nonessential》Official Music Video,UC770sFWzLmJ38nHX6NTunow,530687,1910,21,8170
Allyson 陳瑾緗 -《公主病 Princess》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,12314,176,7,1670
陸虎、黃雅莉、Max馬俊 - 你就是光 You Are The Light（良業城市夜遊推廣曲）Official MV,UCs1wQOl6pWZ4jUn00-x3rJA,13643,71,2,39
JC 說散不散 Official Lyrics Video,UCCcL0bN9tQb1u8xzTqJJzBA,21768,315,17,38000
noovy - 《心絲蟲 Heartworm》Official Music Video,UCbCBuaWvHQH1X1hhLRgBW6g,205567,1071,37,12900
林亭翰 Justin Lin - 寒暄 Small talk（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,40332,771,17,1580000
Things Things Things - Julia Wu 吳卓源｜Official Music Video,UCXIfiWFXOYGpcGHY0PALO7g,1076689,8902,113,162000
盧廣仲 Crowd Lu【善良的眼鏡 Kind Glasses】Official Music Video,UC9-SkdRRsaABoNvYiacFh_w,133600,5220,45,155000
小男孩樂團 Men Envy Children【Rise and Shine】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,51564,1214,24,2510000
UNINE -《SET IT OFF》Official Music Video,UCFtUq0ml-coWmD70Pt_urRA,54417,4185,34,426000
信 Shin【上了癮   Addicted】Official Music Video,UCgcWfH1yD6Z65U92bJfiU7g,44829,845,8,0
黃鴻升 Alien Huang【PLAN B】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,35011,544,32,2510000
李凱馨《I’m Happy》Official Video,UCMxXZDr0XZHSgGP09Q0zS3w,35047,1127,8,12600
Limi - 白雲間(Official Audio),UCh16MQDjZLtYzCqrH36dNYg,34145,1520,7,28900
Suming舒米恩【我想做個夢】Official Video,UCtQOMAVHmJuqGPq-tpckXrA,52329,1763,11,13300
