title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
邱比 CHIU PI【鐵塔 TT】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,26782,239,25,2510000
柯智棠 Kowen [ 給你/妳 To You/You ] Official Music Video,UC8wIQijqOBL13NQ2pHG1sUw,1329634,7962,111,15000
PikA邱振哲 【 憨人 】15週年特別紀念《致敬曲》（原唱：五月天）,UC_m6ymQncu77OZwzeKlC0tw,27923,279,6,17200
成龍 Jackie Chan - 謝謝一輩子（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,648394,19707,397,1580000
世界不會毀滅(Demo版) - 張簡君偉｜官方歌詞版 Official Lyric MV,UCzRFlyBUVHk91LBdKB12ypg,24189,168,0,6520
aMEI x Sandy [ 双影 ] Official Music Video - 戲劇「如懿傳」主題曲,UCI1ApqO0j1KU2M9iZR1cc8A,2340802,7855,515,115000
王力宏 Wang Leehom《CrossFire》官方MV Official MV,UCu2FqeCJmyxVEHS2PfZz8sw,1479354,1368,74,274000
Namewee黄明志18X禁幹歌【買包包換鮑鮑 Handbag Or Abalone】ft. AMOi-AMOi @Red People @亞洲通牒 Ultimatum To Asia 2019,UCFUtqTcgJgRnmZ3tMU6P74Q,2667899,25084,1574,2210000
魏嘉瑩 Arrow Wei 【泡泡氣球島】feat. 小球(莊鵑瑛) Official Music Video,UCl__rQRN5o5OrozeUNOOIDA,139858,1976,12,44300
有感覺 F.E.E.L. - 未完待續 To Be Continued (東森創作【愛的3.14159】插曲) (官方 Official MV),UCStpPtoeQUYII1Jsbl0qf8A,352579,2456,98,1490000
"我恨你我愛你 I hate you, I love you  - 傅又宣 Maggie Fu｜Official MV",UCHJ2m6e8Lkw_m2VhRT119UQ,3219672,12446,188,154000
李嘉格&GAI周延《山外青山樓外樓》【電視劇夜天子主題曲】官方高畫質 Official HD MV,UCCZasUiMCAk7rxq4HqZjmKQ,60072,384,24,119000
"劉明湘 Rose「沒遺憾，只有愛 No Regrets, Only Love」Official MV",UC4eIv8hUnb9eKb0SCe-CQow,161147,1680,19,9410
蕭敬騰 Jam Hsiao - 我有多麼喜歡你 How Much I Love You【獨唱版】(Official Live Video),UCfhl-IDxUrEq6RW6604eGmA,1316899,6493,154,210000
玖壹壹(Nine one one) - 恐怖情人Horrifying Lover 官方MV首播,UCIYA4KPaldLA535gazqX66A,11312062,29366,2138,922000
Crispy脆樂團【星空之上】Official 歌詞MV,UCYlD1Fycb0CIZEaNOc4M7Ag,73751,666,8,24100
Cosmos People 宇宙人  [ 浪費一整天 Waste ] Official Live Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,178140,2969,34,2250000
依錚依靜Yi-cheng Yi-ching【在森林等你 Waiting in the Woods】Official Lyrics Video,UCz-5I1ZGiXi88LdpK4AR6Vg,18837,148,2,695
袁婭維 Tia Ray - 消失的愛人 I Will Always Love You (Official Music Video),UCFUhDDZ0O_Ee615gI4dA_oQ,67936,809,18,15100
婁藝瀟 Loura Lou - 海市蜃樓 Mirage (Official Music Video),UCFUhDDZ0O_Ee615gI4dA_oQ,23821,194,4,15100
Dena (張粹方)【Daydreaming 白日夢】- Official MV | #CreatorSpotlightTW,UC8SL1DuWX8YpGe8Y781zq8A,154161,4730,70,223000
陳昇 Bobby Chen【短歌三葉草】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,33347,195,33,2510000
"DJ GROUND Feat. Sowut, Savage.M/馬克, JAYRoll 【Miss DJ】Official Music Video",UCPcF3KTqhD67ADkukx_OeDg,48352,629,79,2510000
胡鬧一番WhoKnowS《再見了以後》Official MV,UCziKLsTriE1-URMGkwobVuw,103304,1353,19,0
張立昂Marcus C feat. 子閎《我們之間 Between Us 》Official Music Video - 偶像劇【三明治女孩的逆襲】插曲,UCVe_k-wY7f8nxaGgnium--w,1362464,12701,151,40900
徐佳瑩 LaLa【記得帶走 When You Leave】Official Music Video,UCJpFZyuCDfkif5Qt74Re0kA,633127,5570,72,135000
潘瑋柏 Will Pan  - Moonlight (feat. TIA RAY 袁婭維) (English Ver.)【華納官方HD MV】,UC05G_SficL1XFNrHu5T43Gg,3202887,15635,319,121000
莫文蔚 Karen Mok - 中場沒有休息,UCpzxkjWch4-ODILXUC8NDpg,270185,374,51,42900
許靖韻 Angela Hui 《事與願違》 [Lyric MV],UCs9f8LhgPIEmERSfn5zsc_A,122171,2879,43,251000
田亞霍-Elvis 【過路人 Passer】feat. 蔡恩雨 PRISCILLA ABBY (Official Lyric Video),UCNdi__cyJxXiuVDP1KAfSmg,466566,3358,80,115000
那吾克熱《放空》官方 Official,UCzEjVCgkDj73bNHYvZmXs8A,68076,617,30,2150
李子森 Eason Lee - 一髮千鈞  [Official Music Video],UCvOxdn_96ij7urV4dvvv12w,39538,388,16,36700
李榮浩 Ronghao Li - 年少有為 If I Were Young (華納 Official HD 官方MV),UCbGkxRgcnFTNNh3FDJOoJHA,90718690,210503,9851,189000
楊紫&鄧倫《天地無霜》【電視劇香蜜沉沉燼如霜對唱主題曲】官方動態歌詞MV (無損高音質) Ashes of Love OST,UCCZasUiMCAk7rxq4HqZjmKQ,2482012,10120,298,119000
信 Shin［一眼一生］Official Music Video,UCgcWfH1yD6Z65U92bJfiU7g,1879174,3010,90,0
崔子格 Queena Cui - 砒霜（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,205958,2141,36,1580000
有感覺 F.E.E.L. - 粗線條 Thick Lines (官方 Official MV),UCStpPtoeQUYII1Jsbl0qf8A,551580,3940,95,1490000
A-Lin【最好的朋友在身邊  Friendship Forever】（電影《愛情公寓》主題曲）HD 高清官方歌詞版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,145984,1395,13,355000
"魏奇奇『 愛,存在』MV-『 流星花園』片尾曲",UCgULt0pmnPcW4_hFiPALdDg,7035698,81919,920,120000
G.E.M.【倒數 TIK TOK】Official MV [HD] 鄧紫棋,UCQpe3zrQZeyeqI_BjRhdmFA,93450809,304445,12531,1190000
Jason Zhang - 张杰《一路之下 Super Life》MV,UC9Ml4bRhS1v0xnkabLA7MtQ,12325820,36100,176,18000
Selina任家萱《幸福需要一點偏差 Dare to Love》- Official Music Video(電視劇《愛情進化論》片尾曲),UCCsUQXwhDj4iVlhG4VCq6Kg,178676,2239,63,1450000
黃奕儒 Ezu [ 飛人 Flying Man ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,959081,1724,51,2250000
婁藝瀟Loura Lou - 好想他Miss Him(Official Music Video),UCFUhDDZ0O_Ee615gI4dA_oQ,33915,397,4,15100
亦帆 Canace - 早日康復 [Official Lyric Video],UCvOxdn_96ij7urV4dvvv12w,28769,190,5,36700
朱興東 Don Chu - 我有三個月月友（官方歌詞版）,UCEsinqZjZ11w0T9ZvyKIr6A,38185,305,22,1580000
婁藝瀟Loura Lou - 非類Exception(Official Music Video),UCFUhDDZ0O_Ee615gI4dA_oQ,24287,241,4,15100
【TFBOYS】最好的那年 歌詞版,UC37ZT-dvWieOd_hbNhUZj1w,770883,6879,95,12500
陳昇 Bobby Chen【紫月亮】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,44080,254,45,2510000
BOWZ 豹子膽 -【大頭大頭】,UCSAZdUcsKr4AC5c65iA4RlA,814805,9261,143,82000
宋楚琳 Erin Song《藍色小貨車 Blue Truck》Official MV,UCeB6EkV6bgXBr0izj2re9nw,554949,5585,83,2370
林宥嘉Yoga Lin [ 火焰小溪 Flame in the Brook ]Official Music Video,UCCsUQXwhDj4iVlhG4VCq6Kg,190924,2655,58,1450000
【搭錯車音樂劇】[ 我曾擁有過 Once We Had It All ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,61893,557,16,2250000
"張涵真Hannah Chang 【一直買衣服  Buy It, Girl!】Official Music Video",UC27Hp4jV61-LstlL5RUQoig,73781,263,11,5760
Karencici - Go On (feat.Junoflo) Official MV,UCCsUQXwhDj4iVlhG4VCq6Kg,194829,2388,52,1450000
你壞我乖 (Say Hello) ft. Ariel Lim 林慧君 - Napa Cabbage & G5SH [Official Lyric Video],UCBnRyW-ywdsgIz0uYSFQEDA,137884,2452,18,5180
王鶴棣 首支單曲 想都不用想MV/『流星花園』插曲,UCgULt0pmnPcW4_hFiPALdDg,2314980,56277,388,120000
ALL- RANGE《 櫻花草 Primrose 》Official MV 【HD】,UCrqRTnkYxQ8DGvlpqBsGwaA,187351,1764,68,1610
U.G - 開個燈【Turn On the Light】ft. Ker ker  - Official Music Video,UCeNUG8_s4jAxWBrbgwtpINA,46602,265,8,1140
蕭秉治 Xiao Bing Chih [ 天使見證的愛情 Marry Me ]  Feat. Erika (劉艾立) Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,2990286,13822,211,2250000
五月天阿信 [當每顆星星 Every Star (Ashin Version) ] 阿信版 Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,3402708,14876,295,2250000
Need U Now - Julia Wu 吳卓源 ｜Official MV,UCHJ2m6e8Lkw_m2VhRT119UQ,1379550,11092,94,154000
亦帆 Canace - 學會 [Official Lyric Video],UCvOxdn_96ij7urV4dvvv12w,35452,238,5,36700
【甜蜜暴击】甜芋cp告白MV：《怎样去爱》- 邵雨薇 | Sweet Combat - MV,UC9M9sV3sGmutY26H4LNBTww,240304,3668,134,1020000
戴愛玲 Princess Ai《要不要 Yes or No》Official Music Video - 三立華劇《三明治女孩的逆襲》插曲,UCBYALHUQro_Svk1rFUrWmXg,910668,2674,113,34700
呆寶靜 Double J【當我成了妳】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,1725469,16435,838,2510000
鞠起 Qi【一分鐘取暖 Passing By】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,41295,292,60,2510000
邱比 CHIU PI【永恆 ETERNAL】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,22790,163,23,2510000
郁可唯Yisa Yu-Is This Love? MV（電視劇《愛情進化論》情感主題曲）,UCCsUQXwhDj4iVlhG4VCq6Kg,300067,1667,50,1450000
周筆暢- 那麼喜歡你 (官方歌詞版)-電視劇《愛情進化論》人物主題曲,UCMElSC5ghCiyNtbu6HLDVGQ,272420,1469,33,0
盧廣仲 Crowd Lu 【你是我的水 You Are My 70%】 Official Lyrics Video （花甲大人轉男孩電影插曲）,UC9-SkdRRsaABoNvYiacFh_w,278234,3932,46,155000
ØZI -【WE OUT HERE】,UCyr3ZnMUoYAEncZqe9YiYgg,972697,9123,74,103000
五月天阿信 / 黃渤  [當每顆星星 Every Star (Chorus Version) ] 合唱版 Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,927154,9398,138,2250000
陳昇 Bobby Chen【愚人之詩】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,113065,1305,70,2510000
楊恭如 - 學會愛（官方歌詞版）,UCEsinqZjZ11w0T9ZvyKIr6A,29515,221,21,1580000
Dewi 簡廷芮 - 我們沒有想過 歌詞版MV (Official Lyrics Video),UCirguiAzkqU24_-h1zafCcA,20532,87,9,32200
Dewi 簡廷芮 - 戀愛優格 歌詞版MV (Official Lyrics Video),UCirguiAzkqU24_-h1zafCcA,22765,104,6,32200
Dewi 簡廷芮 - Look At Me Now 歌詞版MV (Official Lyrics Video),UCirguiAzkqU24_-h1zafCcA,19253,62,8,32200
依錚依靜Yi-cheng Yi-ching【有人在家 Ｗill Someone Be There】Official Music Video,UCz-5I1ZGiXi88LdpK4AR6Vg,20746,113,4,695
自由引力 Nine Point Eight【光譜 Spectrum】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,20585,114,22,2510000
王力宏 Wang Leehom《需要人陪》Need Some Company（電影《西虹市首富》插曲）,UCu2FqeCJmyxVEHS2PfZz8sw,511849,4909,102,274000
田馥甄 Hebe Tien《最暖的憂傷 Miserable Warmth》Official Music Video (電視劇《溫暖的弦》主題曲),UCCsUQXwhDj4iVlhG4VCq6Kg,1678340,11974,257,1450000
MAYDAY五月天 [ 私奔到月球 ] feat.陳綺貞 Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,11620321,32585,1134,2250000
達西 Darcy【前奏剛剛響起 We've Only Just Begun】Official Lyric Video,UCPcF3KTqhD67ADkukx_OeDg,40172,276,47,2510000
朱一龍、安悅溪 - 許你浮生若夢（官方歌詞版）- 電視劇《許你浮生若夢》主題曲,UCEsinqZjZ11w0T9ZvyKIr6A,181214,1637,53,1580000
柯智棠 Kowen & 洪佩瑜 [ 舞伴 Dancing Partners ] Official Music Video,UC8wIQijqOBL13NQ2pHG1sUw,882362,5160,43,15000
林德信 Alex Lam - 愛的理由 Official MV,UC-0unh5x9WSd6aj0OGxrgaA,21628,96,9,91800
李佳薇 Jess Lee - 叫快樂來找我 Calling Happiness (華納官方版 Official MV),UCKLwQJ8DhbWiKdNcMHlAODg,726344,5412,99,26300
陳梓童 -《HUSTLE》｜CC歌詞字幕,UCiwxUmfgizXqvYHTVxc_NQQ,2935817,17367,342,0
方季惟 Amber Fang - 光的祝福 Blessings Of Light (華納 Official HD 官方MV),UCStpPtoeQUYII1Jsbl0qf8A,26469,144,14,1490000
MAYDAY五月天 [ I'm In Love ] feat.GLAY TERU Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,396663,3939,56,2250000
Namewee 黄明志【Invasion In The North 攻向北方】- 真三国●霸王之业手游主题曲 ft. Ling Goh 吳慧玲,UCFUtqTcgJgRnmZ3tMU6P74Q,1728762,26577,937,2210000
星月 Star Moon - 邵雨薇 ｜【甜蜜暴擊 Sweet Combat】片尾曲 Official MV,UCnmEW0hRhpo62rE-S7M_lsg,4713159,35032,533,7360
MAYDAY五月天 [ 離開地球表面 ] feat.李榮浩 Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,1326209,8036,205,2250000
Dawen 王大文《軌道 Orbit》,UC03TQJruWj6HP5MgUKk4jJA,334266,951,14,102000
旺福 Won Fu《我當你空氣 You Are My Air》 Official Music Video,UCZvQ_io8J1qHHkTDl31fCcA,2799778,24774,562,27600
Jack Chen【可不可以陪我抽菸 Shall We Smoke?】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,56996,775,57,2510000
"屁孩 Ryan ""聽你在屁"" EP【嘻哈唐伯虎】Official Lyric Video",UCDwZFI-o0SAnMloy7b6jH2w,998405,12710,552,98900
MAYDAY五月天 [ 疼愛 ] feat.蕭敬騰 Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,11230444,32400,1056,2250000
Khalil Fong (方大同)－Dear Ocean (頌海) ft. Diana Wang (王詩安) Official Music Video,UC1GmSf_j9wopqsw0_f06hxw,461141,6581,51,87100
